Id,Answer
388,b
389,c
390,c
391,b
392,b
393,b
394,d
395,e
396,d
397,d
398,a
399,a
400,b
401,d
402,e
403,b
404,a
405,b
406,a
407,c
408,c
409,d
410,e
411,e
412,c
413,a
414,b
415,c
416,e
417,c
418,c
419,d
420,c
421,d
422,b
423,c
424,a
425,e
426,a
427,d
428,e
429,b
430,c
431,e
432,c
433,d
434,d
435,c
436,d
437,b
438,d
439,b
440,a
441,b
442,b
443,b
444,e
445,e
446,c
447,a
448,b
449,e
450,d
451,d
452,e
453,b
454,e
455,b
456,e
457,b
458,a
459,a
460,c
461,e
462,d
463,a
464,c
465,e
466,d
467,d
468,d
469,d
470,c
471,d
472,e
473,d
474,d
475,a
476,e
477,b
478,b
479,b
480,d
481,a
482,e
483,e
484,a
485,b
486,b
487,c
488,c
489,c
490,c
491,e
492,b
493,e
494,c
495,a
496,a
497,c
498,b
499,b
500,b
501,c
502,d
503,d
504,d
505,b
506,c
507,d
508,e
509,c
510,e
511,b
512,c
513,b
514,d
515,a
516,a
517,a
518,b
519,d
520,b
521,c
522,c
523,c
524,b
525,c
526,d
527,b
528,e
529,c
530,a
531,e
532,d
533,d
534,d
535,d
536,b
537,b
538,c
539,e
540,e
541,c
542,a
543,b
544,d
545,e
546,c
547,a
548,c
549,e
550,b
551,d
552,a
553,d
554,b
555,b
556,b
557,b
558,e
559,d
560,b
561,e
562,e
563,c
564,c
565,a
566,a
567,d
568,c
569,e
570,c
571,d
572,a
573,b
574,a
575,e
576,a
577,a
578,e
579,b
580,c
581,e
582,c
583,e
584,b
585,e
586,b
587,d
588,c
589,b
590,c
591,c
592,b
593,d
594,e
595,d
596,d
597,b
598,d
599,d
600,b
601,d
602,c
603,b
604,e
605,e
606,e
607,c
608,b
609,d
610,a
611,b
612,a
613,c
614,a
615,a
616,a
617,e
618,b
619,c
620,d
621,c
622,c
623,e
624,d
625,e
626,b
627,a
628,d
629,d
630,d
631,b
632,e
633,b
634,d
635,a
636,c
637,e
638,b
639,c
640,e
641,e
642,e
643,c
644,a
645,b
646,c
647,b
648,d
649,d
650,c
651,c
652,a
653,a
654,d
655,c
656,e
657,a
658,a
659,c
660,c
661,d
662,c
663,d
664,d
665,e
666,b
667,e
668,b
669,b
670,d
671,a
672,c
673,a
674,c
675,b
676,b
677,c
678,d
679,e
680,e
681,c
682,a
683,d
684,c
685,e
686,d
687,d
688,b
689,c
690,b
691,e
692,c
693,a
694,e
695,e
696,d
697,d
698,d
699,b
700,b
701,d
702,e
703,b
704,c
705,b
706,a
707,d
708,b
709,c
710,a
711,a
712,e
713,c
714,e
715,e
716,b
717,b
718,a
719,e
720,e
721,d
722,a
723,a
724,a
725,a
726,d
727,c
728,a
729,b
730,c
731,d
732,b
733,e
734,e
735,a
736,e
737,b
738,e
739,c
740,b
741,b
742,d
743,b
744,b
745,a
746,e
747,a
748,a
749,a
750,e
751,a
752,d
753,b
754,a
755,d
756,d
757,d
758,a
759,d
760,c
761,d
762,d
763,d
764,a
765,d
766,b
767,d
768,d
769,c
770,e
771,d
772,e
773,e
774,d
775,a
776,e
777,b
778,b
779,d
780,e
781,d
782,c
783,d
784,c
785,a
786,e
787,d
788,e
789,e
790,e
791,c
792,e
793,d
794,a
795,d
796,a
797,a
798,b
799,c
800,b
801,b
802,b
803,b
804,c
805,c
806,d
807,d
808,a
809,e
810,b
811,a
812,b
813,b
814,e
815,c
816,a
817,c
818,b
819,d
820,a
821,a
822,d
823,b
824,a
825,c
826,d
827,c
828,d
829,e
830,e
831,d
832,e
833,b
834,e
835,b
836,c
837,e
838,d
839,a
840,d
841,e
842,b
843,d
844,e
845,e
846,c
847,d
848,c
849,e
850,b
851,a
852,c
853,a
854,b
855,c
856,b
857,e
858,a
859,c
860,a
861,d
862,a
863,d
864,a
865,b
866,e
867,a
868,e
869,c
870,b
871,e
872,c
873,a
874,b
875,e
876,d
877,b
878,e
879,c
880,e
881,d
882,b
883,c
884,a
885,d
886,a
887,e
888,c
889,a
890,b
891,b
892,e
893,c
894,b
895,d
896,a
897,b
898,a
899,e
900,d
901,d
902,b
903,e
904,e
905,c
906,d
907,a
908,a
909,a
910,b
911,a
912,e
913,e
914,e
915,a
916,e
917,a
918,d
919,a
920,a
921,b
922,b
923,c
924,e
925,e
926,a
927,c
928,b
929,d
930,d
931,b
932,a
933,d
934,b
935,e
936,b
937,e
938,d
939,d
940,b
941,c
942,e
943,e
944,e
945,b
946,a
947,d
948,a
949,a
950,b
951,a
952,e
953,b
954,a
955,b
956,b
957,e
958,d
959,d
960,b
961,e
962,b
963,b
964,b
965,c
966,e
967,d
968,e
969,c
970,c
971,e
972,b
973,e
974,d
975,a
976,c
977,a
978,a
979,d
980,e
981,a
982,c
983,d
984,a
985,b
986,b
987,a
988,e
989,b
990,a
991,b
992,d
993,a
994,a
995,a
996,c
997,b
998,b
999,e
1000,e
1001,e
1002,a
1003,b
1004,e
1005,e
1006,a
1007,b
1008,a
1009,a
1010,b
1011,c
1012,a
1013,c
1014,a
1015,c
1016,a
1017,d
1018,a
1019,d
1020,c
1021,d
1022,a
1023,c
1024,e
1025,c
1026,b
1027,c
1028,c
1029,e
1030,d
1031,e
1032,d
1033,a
1034,a
1035,b
1036,b
1037,c
1038,b
1039,c
1040,c
